Continent,Country or State,Province or City,Shop Name,Shop Age,PC Make,PC Model,Storage Type,Customer Name,Customer Surname,Customer Contact Number,Customer Email Address,Sales Person Name,Sales Person Department,Cost Price,Sale Price,Payment Method,Discount Amount,Purchase Date,Ship Date,Finance Amount,RAM,Credit Score,Channel,Priority,Cost of Repairs,Total Sales per Employee,PC Market Price,Storage Capacity
Africa,Nigeria,Sokoto,DEF Machines,9,Asus,VivoBook S14,SSD,Christopher,Hill,001-627-047-3808x4582,joshuahernandez@example.org,Lisa Morgan,Returns,10024,13841,Bank Transfer,632,2021-08-04,N/A,0,16GB,782,Offline,Medium,0,491,12728,500GB
Africa,Kenya,Nyeri,S & A Computer Place,5,Toshiba,Qosmio,HDD,Elizabeth,Melton,729.437.2339,grossmelissa@example.org,David Ellis,Returns,22022,24788,Cash,909,2022-02-10,N/A,0,16GB,623,Offline,Low,0,97,24685,500GB
Africa,South Africa,Northern Cape,Jacks Hardware,3,MSI,GE76 Raider,SSD,Allison,Smith,(297)164-2241x912,fcole@example.com,Mary Nelson,New Sales,18788,21357,Cash,338,2023-05-04,N/A,0,2GB,642,Offline,Low,0,982,20287,256GB
North America,North Carolina,Morganton,GH PC Shop,9,MSI,GE76 Raider,SSD,Tara,Marks,4931322286,sanchezchristian@example.com,Morgan Moore,New Sales,14307,17436,Bank Transfer,941,2023-04-20,2023-05-20,0,16GB,609,Online,Medium,0,319,15616,500GB
Africa,Angola,Huila,GHI Machines,9,HP,Probook,HDD,David,Moon,001-478-678-3296,snyderjacqueline@example.com,Cassidy Mason,Second-hand Sales,29677,32562,Finance,725,2022-12-05,2022-12-27,44142,16GB,532,Online,High,0,198,29708,500GB
Africa,Ethiopia,Afar,Jacks Hardware,1,Lenovo,ThinkPad T14,HDD,Pamela,Martin,396.536.2013x61043,mcgeecatherine@example.com,Alexa Hopkins,Returns,20561,24439,Finance,73,2023-12-01,N/A,2896,16GB,616,Offline,Medium,0,521,23280,1TB
Africa,Morocco,Azilal,S & A Computer Place,4,MSI,Alpha 15,HDD,Kyle,Harmon,253-644-9959x52009,josephvasquez@example.net,Emma Scott,Returns,28098,31040,Bank Transfer,901,2023-12-19,2024-01-07,0,4GB,580,Online,Medium,0,671,29696,500GB
North America,North Carolina,Havelock,LJ Computers,6,Apple,Apple Mac Pro,SSD,Christopher,Campos,001-867-181-4348x6593,ysanchez@example.net,Tony Valenzuela,Returns,6881,11746,Cash,62,2021-09-12,2021-09-15,0,2GB,418,Online,Medium,0,682,8064,1TB
North America,Texas,Abilene,A & A PCs,2,Lenovo,Legion 5,SSD,John,Reyes,0189228254,jessica62@example.com,Diana Rodriguez,New Sales,18701,22222,Finance,318,2023-02-13,2023-02-23,5823,2GB,761,Online,Low,0,523,22000,1TB
Africa,Botswana,Central,Western International PCs,2,Samsung,Notebook 5,HDD,Vanessa,Boyd,363.814.2384,nicolegonzalez@example.com,Melissa Dunn,Second-hand Sales,11714,13926,Finance,515,2022-08-01,N/A,47675,4GB,706,Offline,High,0,671,12532,256GB
Africa,Tanzania,Manyara,DEF Machines,2,Dell,Precision,SSD,Shannon,Freeman,524-471-5326x826,lyoung@example.org,Jennifer Morales,Repairs,9261,14136,Bank Transfer,410,2023-05-26,2023-06-18,0,16GB,760,Online,Low,4931,557,10948,1TB
Africa,Kenya,Siaya,Jacks Hardware,9,HP,Elitebook,HDD,Cathy,Price,740-532-2618,lbryan@example.net,Tonya Nolan,New Sales,17758,22498,Cash,112,2024-01-02,2024-01-30,0,16GB,728,Online,Low,0,816,20454,256GB
Africa,Nigeria,Zamfara,GH PC Shop,4,HP,Spectre,HDD,Robert,Wood,+1-437-479-3301x31977,anthony69@example.com,Diana Waters,Second-hand Sales,26343,28768,Bank Transfer,333,2021-04-15,N/A,0,16GB,440,Offline,Low,0,807,27529,500GB
Africa,Kenya,Bungoma,DEF Machines,4,Microsoft,Surface Hub,SSD,Richard,Frye,+1-382-726-8974x7448,portermonica@example.com,Amy Johnson,Repairs,28302,30373,Bank Transfer,520,2022-05-01,2022-05-07,0,2GB,595,Online,High,2589,981,30011,500GB
Africa,Angola,Benguela,DEF Machines,8,Microsoft,Surface Neo,HDD,Scott,Lawson,(710)273-3054x96921,samantha25@example.net,Cassidy Mason,New Sales,21491,25949,Bank Transfer,593,2023-12-11,N/A,0,4GB,496,Offline,High,0,743,22822,500GB
Africa,South Africa,Northern Cape,ABC Computers,3,Toshiba,Qosmio,SSD,Roberto,Murray,2216962432,joseph07@example.net,Pamela Zavala,Repairs,26025,29391,Finance,830,2023-10-26,N/A,16614,2GB,473,Offline,Medium,3516,722,28243,1TB
Africa,Nigeria,Borno,XYZ Tech,2,Acer,Predator Triton 500,HDD,Marc,Walker,+1-039-197-5976x92508,bobby21@example.org,Diana Waters,Returns,5202,9678,Finance,174,2023-05-15,N/A,41579,4GB,537,Offline,High,0,817,6184,1TB
Africa,Tanzania,Mara,CK Tech Store,3,Microsoft,Surface Pro,SSD,Cindy,Davis,4326458783,whitney58@example.net,Mary Fisher,New Sales,17782,21769,Bank Transfer,897,2022-05-26,N/A,0,16GB,678,Offline,Low,0,697,18410,500GB
North America,California,San Diego,LJ Computers,7,Asus,TUF Gaming A15,HDD,Jeff,Hamilton,(856)281-3635x3047,jessica96@example.net,Joy Holt,Repairs,20574,22717,Cash,951,2022-08-06,N/A,0,4GB,545,Offline,Medium,1095,789,20581,1TB
North America,Georgia,Douglasville,Greens Laptops and PCs,6,Acer,Aspire 7,SSD,Sharon,Massey,+1-134-873-8647x358,kimberly30@example.org,Michael Collins,New Sales,4317,8816,Cash,101,2022-01-20,2022-02-13,0,16GB,782,Online,Medium,0,703,4400,256GB
Africa,Nigeria,Yobe,XYZ Tech,5,MSI,GS66 Stealth,SSD,Benjamin,Mayer,2883270457,johnlin@example.org,Lisa Morgan,Returns,12863,15128,Cash,727,2021-03-15,N/A,0,8GB,789,Offline,Medium,0,424,13600,1TB
Africa,Morocco,Fahs Anjra,Western International PCs,4,Samsung,Notebook 9 Pro,SSD,Patrick,Owens,9718561441,parkserin@example.com,Amy Owens,Returns,8835,11009,Finance,506,2022-03-30,N/A,12253,16GB,798,Offline,Low,0,87,9258,1TB
North America,Michigan,East Lansing,CK Tech Store,3,HP,Envy,HDD,Ronnie,Fisher,430-954-2512,xsharp@example.org,Erika Larsen,Second-hand Sales,13588,16477,Bank Transfer,668,2023-04-26,2023-05-26,0,8GB,567,Online,High,0,157,13931,256GB
Africa,Nigeria,Niger,Mini Tech,6,Samsung,Galaxy Chromebook 2,HDD,Christina,Jackson,001-465-013-9160x807,kenneth60@example.net,Lisa Morgan,Returns,17133,19196,Bank Transfer,202,2021-06-20,N/A,0,16GB,504,Offline,High,0,856,18358,256GB
North America,California,Stockton,Western International PCs,4,Acer,Spin 5,HDD,Shaun,Sutton,970.304.7252,greenemelinda@example.com,Rachel Mitchell,Second-hand Sales,24024,27975,Bank Transfer,790,2023-05-22,N/A,0,16GB,544,Offline,High,0,938,27712,1TB
North America,Illinois,Berwyn,Jacks Hardware,8,Lenovo,IdeaCentre AIO 3,SSD,Christina,Warren,001-260-986-7951x90918,cathy71@example.net,Jason Phillips,New Sales,24764,28518,Bank Transfer,309,2023-12-25,N/A,0,2GB,618,Offline,Medium,0,593,24785,256GB
North America,California,Chula Vista,ABC Computers,8,MSI,GS66 Stealth,HDD,Kerry,Williams,142.837.2973,qjohnson@example.org,Alyssa Martinez,Repairs,7557,11725,Cash,14,2023-10-27,2023-11-26,0,8GB,429,Online,High,3299,977,8998,1TB
North America,Michigan,Royal Oak,A & A PCs,4,Apple,Apple iMac,HDD,Brenda,Hodge,(666)966-2420,christopherbennett@example.net,Allen Juarez,Returns,25977,29202,Finance,634,2022-11-17,N/A,21373,8GB,589,Offline,Medium,0,363,27854,1TB
Africa,Kenya,Nakuru,Jacks Hardware,4,Asus,ROG Strix Scar III,HDD,Erin,Williams,287.920.6275x7777,adrianjohnson@example.com,Kenneth Moore,New Sales,19361,21367,Bank Transfer,380,2022-01-22,2022-02-06,0,2GB,740,Online,High,0,977,19877,500GB
Africa,Tanzania,Pemba Kusini,Frankies Hardware and Software,6,Apple,Apple PowerBook G4,SSD,Christopher,Long,+1-838-470-0689x7919,sandovalrussell@example.org,Alicia Evans,New Sales,17109,20011,Cash,699,2022-10-07,2022-10-26,0,16GB,778,Online,High,0,306,19402,256GB
North America,Florida,Hialeah,Ricks Computers,2,Microsoft,Surface Book,SSD,Elizabeth,Becker,826-331-4982,vmitchell@example.com,Alexis Murray,Second-hand Sales,20756,22946,Bank Transfer,179,2022-06-19,2022-07-08,0,4GB,518,Online,Medium,0,321,22856,500GB
North America,California,Irvine,KyaSand Tech Gadgets,10,Samsung,Notebook Odyssey,HDD,Pamela,Mcneil,655-774-3937x780,petersontammy@example.com,Larry Smith,Second-hand Sales,10910,14333,Finance,729,2021-06-16,N/A,17276,2GB,544,Offline,Medium,0,101,12247,500GB
Africa,Morocco,Ouezzane,LJ Computers,4,Dell,Precision,SSD,Grant,Robertson,0181965151,melissawood@example.net,Gina Day,Second-hand Sales,15191,18781,Bank Transfer,84,2023-04-17,N/A,0,4GB,740,Offline,High,0,825,18164,256GB
Africa,South Africa,Gauteng,Greens Laptops and PCs,9,Asus,ZenBook Flip S UX371,SSD,Lisa,Kaiser,(298)656-7674,meganwolfe@example.net,Mary Nelson,Returns,6794,10781,Finance,688,2021-06-01,N/A,37658,4GB,428,Offline,High,0,143,10101,500GB
North America,Illinois,Orland Park,ABC Computers,8,Lenovo,ThinkPad T14,HDD,Jennifer,Roach,(080)276-3367x495,joshualawrence@example.net,Glenda Cohen,Repairs,25958,29343,Cash,121,2021-11-08,2021-12-07,0,16GB,657,Online,High,2046,434,27024,500GB
Africa,Nigeria,Ondo,Ricks Computers,10,HP,Spectre,HDD,Lisa,Lynn,(652)783-8113x942,grace35@example.org,Mary Shaw,New Sales,16949,19423,Finance,51,2021-12-16,N/A,18995,4GB,817,Offline,Low,0,733,18827,500GB
North America,Illinois,Berwyn,GH PC Shop,6,Asus,VivoBook S14,HDD,Patricia,Roberts,674.737.0858,ryanchristopher@example.org,Daniel Serrano,Repairs,28751,30808,Finance,618,2022-07-11,2022-07-13,11175,4GB,761,Online,Medium,4951,247,29698,256GB
Africa,Kenya,Tharaka-Nithi,DEF Machines,3,Apple,Apple Macintosh Classic,HDD,Kimberly,Peters,(100)703-7041,pennycobb@example.net,Cassandra Mcmillan,Repairs,15261,19210,Bank Transfer,971,2023-01-01,2023-01-05,0,2GB,785,Online,Medium,1815,736,17590,256GB
Africa,Botswana,Ghanzi,Greens Laptops and PCs,9,Lenovo,ThinkCentre M920 Tiny,SSD,Angela,Brown,(566)426-0077,wellsangela@example.org,Sarah Riley,Repairs,17334,22130,Bank Transfer,297,2023-02-01,2023-02-22,0,4GB,689,Online,Low,4934,130,21342,256GB
Africa,Ghana,Northern,Ricks Computers,2,Asus,VivoBook S14,HDD,Brooke,Jones,(832)592-6431,gina83@example.net,Troy Howell,New Sales,21520,26144,Bank Transfer,631,2023-10-27,2023-11-20,0,16GB,815,Online,Low,0,370,24367,256GB
North America,Illinois,Waukegan,ABC Computers,5,Asus,ExpertBook B9,SSD,Nichole,May,+1-594-718-8830x555,johnsonjeffrey@example.org,Ashley Jones,Second-hand Sales,11127,15831,Finance,20,2021-05-10,2021-05-16,18443,8GB,522,Online,Medium,0,432,13309,1TB
Africa,Kenya,Kitui,ABC Computers,3,MSI,Alpha 15,HDD,Nicholas,Alexander,001-555-339-7850x168,anthony38@example.net,Kenneth Moore,Returns,13849,16865,Cash,938,2023-10-01,N/A,0,4GB,516,Offline,Low,0,969,16161,1TB
North America,California,Fresno,CK Tech Store,10,Toshiba,Dynabook,SSD,Matthew,Smith,7182073394,john84@example.com,Joe Black,Returns,24130,27031,Cash,909,2023-10-19,2023-11-08,0,2GB,497,Online,Low,0,668,26663,256GB
North America,North Carolina,Gastonia,Benjis Tech,9,Acer,Chromebook Spin 311,HDD,Madeline,Armstrong,870.710.3196x3586,michael26@example.net,Craig Wheeler,New Sales,19746,23575,Finance,141,2021-06-01,N/A,34519,2GB,431,Offline,Medium,0,546,21275,500GB
North America,North Carolina,Salisbury,Greens Laptops and PCs,4,Microsoft,Surface Pro,HDD,Carolyn,Carter,(714)403-0106x45431,gking@example.org,Brittany Franklin,New Sales,25966,30237,Finance,78,2023-11-18,N/A,5254,2GB,809,Offline,Medium,0,153,28403,1TB
Africa,Angola,Namibe,GH PC Shop,7,Samsung,Galaxy Chromebook 2,HDD,Michael,Espinoza,7106609566,wagnerjimmy@example.net,Hector Robertson,Returns,25099,28049,Finance,978,2022-07-04,N/A,25441,4GB,572,Offline,Low,0,191,25475,500GB
North America,North Carolina,Concord,Jacks Hardware,2,Asus,ROG Zephyrus S GX701,HDD,Patrick,Green,5189869136,peckanthony@example.org,Brady Walton,Second-hand Sales,18280,22734,Finance,949,2024-03-03,2024-03-10,12154,4GB,548,Online,Medium,0,26,21566,500GB
North America,Illinois,Arlington Heights,Jacks Hardware,4,Acer,Aspire E 15,HDD,Amber,Goodwin,430.286.3788x5154,wrightpatrick@example.net,Kathleen Robinson,Second-hand Sales,12228,14807,Bank Transfer,718,2024-02-03,N/A,0,16GB,613,Offline,High,0,436,12942,256GB
Africa,Ghana,Central,ABC Computers,5,Samsung,Notebook 9,SSD,Timothy,Brown,773-182-3791x46259,jillsampson@example.com,Jonathan Miller,New Sales,21440,25392,Finance,39,2023-03-07,2023-03-21,49235,4GB,628,Online,High,0,520,23006,256GB
North America,California,San Bernardino,GH PC Shop,1,Lenovo,ThinkPad P15s,SSD,Charles,Davis,566-410-8863x77590,rebeccaadams@example.com,Sean Rodriguez,New Sales,11092,14853,Finance,973,2023-06-02,2023-06-09,23344,4GB,784,Online,Medium,0,676,13664,1TB
North America,Illinois,Arlington Heights,KyaSand Tech Gadgets,2,MSI,GP65 Leopard,HDD,Amy,Gomez,001-068-214-0596x5278,connerkeith@example.com,Amanda Mitchell,New Sales,27622,32021,Cash,886,2023-07-21,N/A,0,2GB,651,Offline,Medium,0,162,28996,1TB
Africa,Ethiopia,"Southern Nations, Nationalities, and Peoples Region (SNNPR)",LJ Computers,7,Toshiba,Dynabook,HDD,Steven,Pham,459.191.1321,sullivanjames@example.org,Michael Summers,Second-hand Sales,11821,15554,Finance,168,2022-01-08,2022-01-27,37332,2GB,516,Online,High,0,823,13995,500GB
Africa,Botswana,Kweneng,A & A PCs,7,HP,Stream,HDD,Beth,Russell,(757)341-5077x26550,gvaughn@example.org,Michael Byrd,New Sales,13832,16760,Cash,324,2021-08-08,N/A,0,2GB,689,Offline,Medium,0,488,15241,1TB
Africa,South Africa,Northern Cape,ABC Computers,6,Microsoft,Surface Book,HDD,Courtney,Johnson,808.186.0221x1465,dianafischer@example.org,Carol Smith,Repairs,13214,16078,Bank Transfer,850,2023-08-08,N/A,0,16GB,667,Offline,High,1140,817,13588,256GB
Africa,Ghana,Western,XYZ Tech,3,Dell,Venue,SSD,Matthew,Thomas,(407)856-6803x0870,jcooper@example.org,Amanda Hurley,New Sales,20746,24938,Cash,298,2023-08-17,N/A,0,16GB,741,Offline,Low,0,669,21980,256GB
Africa,Morocco,Guelmim,XYZ Tech,10,Toshiba,Satellite,SSD,Aaron,Spencer,107-106-9029x9115,stacey97@example.org,Kelly Mitchell,Repairs,8839,13271,Bank Transfer,704,2022-04-06,N/A,0,8GB,568,Offline,Low,3891,317,12164,1TB
North America,New York,Mount Vernon,ABC Computers,7,Acer,ConceptD 5,HDD,Steven,Alexander,001-915-147-5305,zadams@example.net,Kelsey Olson,Repairs,20990,25255,Bank Transfer,411,2023-01-01,2023-01-31,0,2GB,451,Online,Low,4717,123,25220,1TB
Africa,Ghana,Volta,A & A PCs,8,MSI,P65 Creator,SSD,Cameron,Jones,+1-462-294-5992,phillip03@example.net,Kevin Lee,Second-hand Sales,22176,26293,Bank Transfer,234,2023-10-17,N/A,0,2GB,520,Offline,Low,0,47,25546,256GB
Africa,Kenya,Makueni,S & A Computer Place,10,Acer,Spin 5,SSD,Ralph,Rodriguez,001-907-369-6538x9469,joseroth@example.net,Christopher Santos,New Sales,20865,24690,Finance,915,2021-12-12,2022-01-04,10464,4GB,671,Online,Medium,0,694,23277,1TB
North America,New York,Binghamton,CK Tech Store,3,Dell,G Series,HDD,Renee,Cooper,+1-192-343-3369x9179,gdavis@example.net,Natalie Jimenez,New Sales,16136,18675,Cash,859,2023-02-22,2023-03-17,0,8GB,725,Online,Medium,0,613,18288,256GB
Africa,Angola,Cuando Cubango,CK Tech Store,9,Apple,Apple iMac,SSD,Nicole,Payne,413-198-7204x0804,earl63@example.org,Hector Robertson,Returns,11762,15876,Cash,923,2023-12-18,2024-01-12,0,2GB,509,Online,Medium,0,825,12605,500GB
North America,California,San Jose,XYZ Tech,3,Apple,Apple Mac Pro,SSD,Christopher,Daniels,(643)104-8462,mellis@example.net,Sean Rodriguez,Second-hand Sales,7121,10387,Bank Transfer,394,2022-06-28,2022-07-24,0,2GB,621,Online,Medium,0,772,8390,256GB
North America,Pennsylvania,Lebanon,Mini Tech,8,Microsoft,Surface Laptop,HDD,Wanda,Cook,001-002-225-3366x0722,robertbarnes@example.com,Julia Dodson,Returns,3601,6262,Finance,997,2021-06-06,2021-06-18,29919,2GB,465,Online,High,0,971,5977,256GB
North America,California,San Jose,DEF Machines,4,Dell,Vostro,SSD,Dylan,Henry,401.414.4447,bailey23@example.com,Andrew Miranda,Returns,22149,26540,Cash,733,2021-10-26,N/A,0,8GB,645,Offline,Low,0,324,24313,500GB
North America,Georgia,Macon,Frankies Hardware and Software,7,Acer,Predator Helios 300,SSD,Debra,Bryant,+1-987-688-0384x967,maryhumphrey@example.net,Rebecca Brown,New Sales,23823,28231,Bank Transfer,779,2023-04-26,N/A,0,16GB,609,Offline,Low,0,413,27083,256GB
Africa,Egypt,Matrouh,LJ Computers,1,Lenovo,ThinkPad X13 Yoga,HDD,Rita,Chapman,(705)174-7371,hammondjulie@example.org,Michael Gibson,New Sales,12847,14930,Finance,705,2023-09-28,N/A,46356,4GB,761,Offline,Medium,0,759,14149,500GB
North America,Florida,Davie,GH PC Shop,3,HP,Stream,HDD,Willie,Reeves,+1-058-033-7233,marysmith@example.org,William Macdonald,Returns,20012,23066,Cash,415,2021-07-08,2021-07-15,0,16GB,498,Online,Low,0,174,20606,500GB
North America,New York,Syracuse,Frankies Hardware and Software,8,Asus,ROG Strix Scar III,HDD,Mason,Santiago,886.158.7356x9754,macdonaldmary@example.net,Kelsey Olson,Returns,3913,8584,Bank Transfer,316,2023-04-11,2023-04-30,0,8GB,652,Online,Medium,0,98,6082,1TB
North America,Florida,West Palm Beach,A & A PCs,2,HP,Envy,HDD,Scott,Thompson,661-062-8359x59205,vrogers@example.org,Deborah Anderson MD,Second-hand Sales,24371,27551,Cash,15,2023-12-17,2023-12-24,0,2GB,821,Online,Low,0,252,26459,256GB
Africa,Tanzania,Tabora,Western International PCs,6,Microsoft,Surface Hub,HDD,Tommy,Thompson,(208)022-4444x1460,jamesdaniel@example.org,Corey Rasmussen,New Sales,26475,29974,Cash,906,2022-02-10,2022-02-25,0,2GB,757,Online,High,0,914,28915,1TB
North America,California,Modesto,Benjis Tech,3,Toshiba,Portege,HDD,Ashley,Conrad,353.269.9299x294,hfreeman@example.net,Larry Smith,Returns,14781,18883,Bank Transfer,841,2023-10-16,2023-10-20,0,4GB,699,Online,High,0,429,18622,1TB
Africa,Nigeria,Adamawa,XYZ Tech,7,Acer,Aspire E 15,SSD,Luis,Guerrero,763.599.8783x07753,evansbrenda@example.org,Timothy Leach,Repairs,12197,15158,Finance,770,2023-08-30,2023-09-29,7222,2GB,453,Online,Medium,2268,142,15079,256GB
Africa,Kenya,Taita-Taveta,ABC Computers,2,Dell,Alienware,HDD,Bradley,Mccall,+1-365-364-4219,jeffmurphy@example.org,Cassandra Mcmillan,Second-hand Sales,20189,22913,Bank Transfer,910,2022-01-15,2022-02-02,0,8GB,765,Online,High,0,755,21466,1TB
North America,North Carolina,Charlotte,S & A Computer Place,7,HP,Spectre,HDD,Jeffrey,Martinez,232-497-5709x60368,uallen@example.net,Robert Wood,Repairs,25555,30055,Bank Transfer,887,2021-08-23,2021-08-25,0,16GB,555,Online,Low,3741,173,25609,1TB
Africa,South Africa,Mpumalanga,Jacks Hardware,5,HP,Elitebook,SSD,Michael,Murray,+1-672-463-4891x88806,lbrown@example.org,Mrs. Barbara Davenport,Second-hand Sales,16881,20979,Finance,668,2024-01-09,2024-01-12,14012,16GB,503,Online,High,0,791,18146,1TB
Africa,Kenya,Migori,GH PC Shop,8,Acer,Predator Helios 300,SSD,Lisa,Stephens,+1-590-612-8328x7385,mortiz@example.net,Jeffrey Cook,New Sales,23040,26135,Bank Transfer,696,2021-03-16,N/A,0,2GB,727,Offline,High,0,702,24992,1TB
North America,Florida,Tallahassee,GH PC Shop,9,Toshiba,Libretto,HDD,Grant,Day,001-992-824-3817x1218,pcontreras@example.org,Raymond Larson,New Sales,14469,17833,Cash,331,2023-01-15,N/A,0,2GB,505,Offline,High,0,130,17629,500GB
Africa,Botswana,North-East,Frankies Hardware and Software,4,Apple,Apple Lisa,HDD,Kenneth,White,+1-021-674-7422x4082,candacegibson@example.com,Lisa Williams,Second-hand Sales,28966,32610,Finance,40,2023-11-08,2023-12-05,27288,4GB,582,Online,High,0,86,29256,256GB
North America,Ohio,Springfield,XYZ Tech,4,MSI,Alpha 15,SSD,Nancy,Smith,854.880.1176x56848,underwoodkatie@example.org,Diamond Baker,Returns,27582,31801,Finance,769,2023-11-23,2023-12-21,48070,2GB,735,Online,Medium,0,301,27723,500GB
North America,California,Anaheim,Jacks Hardware,10,MSI,Modern 15,HDD,Michelle,Hancock,001-255-153-8979,michael68@example.org,Andrew Miranda,New Sales,27749,31849,Bank Transfer,924,2022-03-07,N/A,0,2GB,765,Offline,Low,0,641,31848,500GB
North America,Michigan,Troy,Benjis Tech,10,MSI,Alpha 15,SSD,Jared,Shaw,(870)728-4319x79069,amandaleach@example.com,Casey Dunn,New Sales,4766,8559,Cash,154,2023-04-09,2023-05-06,0,4GB,701,Online,Low,0,281,7451,256GB
Africa,Kenya,Kisii,ABC Computers,3,Apple,Apple iMac,SSD,Justin,Hunt,599.017.9541,kevin25@example.org,David Ellis,Second-hand Sales,15695,18115,Bank Transfer,995,2023-12-09,2024-01-03,0,8GB,624,Online,Low,0,52,17199,1TB
